,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
7179,7179,-2109646.046357577,-2108840.8248195327,5967768.8691363465,-4888.60746475793,-4889.096200047093,-3455.8399441023107,50.5,6671732.772149254,0,0.0008699998902495042,1.8925243513066814,0,0.00023761882263762167,0,0,0.7498657402224155,0.8125585997586936
7180,7180,-2114533.236931926,-2113728.50466945,5964309.024963113,-4885.772590663162,-4886.262406401323,-3463.8476283989858,50.5,6671732.764024641,0,0.0008699998902495042,1.8932965910627366,0,0.00023772241273948617,0,0,0.7127869572939164,0.7799628863949916
7181,7181,-2119417.5893529844,-2118613.347446197,5960841.1754292715,-4882.931158811295,-4883.422054341023,-3471.8506635269246,50.5,6671732.755896479,0,0.0008699998902495042,1.894068581517176,0,0.00023782622580640847,0,0,0.6489732875166956,0.7228040492380226
7182,7182,-2124299.097064901,-2123495.3465932645,5957365.325189362,-4880.083173016038,-4880.575147678454,-3479.8490387443253,50.5,6671732.747764769,0,0.0008699998902495042,1.8948403219004193,0,0.00023793026152530488,0,0,0.7334747265704648,0.7987718593866961
7183,7183,-2129177.753515643,-2128374.49555796,5953881.478908665,-4877.228637099897,-4877.7216902346745,-3487.8427433156403,50.5,6671732.739629499,0,0.0008699998902495042,1.8956118114417433,0,0.00023803451958174775,0,0,0.7341455829330812,0.7997126600114774
7184,7184,-2134053.5521570044,-2133250.7877914165,5950389.64126319,-4874.367554894171,-4874.8616858395335,-3495.8317665115906,50.5,6671732.7314906595,0,0.0008699998902495042,1.8963830493692782,0,0.00023813899965999355,0,0,0.6757516986694896,0.7478475356244848
7185,7185,-2138926.486444615,-2138124.2167486013,5946889.816939674,-4871.499930238943,-4871.99513833167,-3503.8160976091804,50.5,6671732.723348245,0,0.0008699998902495042,1.8971540349100047,0,0.00023824370144296192,0,0,0.6970942364766334,0.7674515630212375
7186,7186,-2143796.5498379488,-2142994.7758883247,5943382.010635576,-4868.62576698308,-4869.122051558504,-3511.7957258917113,50.5,6671732.715202247,0,0.0008699998902495042,1.8979247672897515,0,0.0002383486246122676,0,0,0.7217936451392496,0.7897441519406414
7187,7187,-2148663.7358003333,-2147862.4586732485,5939866.227059066,-4865.745068984224,-4866.2424293762315,-3519.770640648797,50.5,6671732.70705266,0,0.0008699998902495042,1.8986952457331903,0,0.0002384537688481469,0,0,0.7549603652005601,0.8191686092560589
7188,7188,-2153528.0377989584,-2152727.2585698958,5936342.470929022,-4862.857840108789,-4863.356275649823,-3527.7408311763766,50.5,6671732.698899474,0,0.0008699998902495042,1.8994654694638349,0,0.00023855913382955275,0,0,0.7346595834252336,0.8014826969588305
7189,7189,-2158389.449304884,-2157589.169048658,5932810.746975022,-4859.964084231952,-4860.463594253014,-3535.7062867767313,50.5,6671732.690742681,0,0.0008699998902495042,1.9002354377040367,0,0.00023866471923406605,0,0,0.7044203738915964,0.7752082584407711
7190,7190,-2163247.9637930496,-2162448.183583806,5929271.059937341,-4857.063805237654,-4857.564389068302,-3543.666996758496,50.5,6671732.682582278,0,0.0008699998902495042,1.9010051496749798,0,0.0002387705247379377,0,0,0.6865132868356464,0.7595276325720289
7191,7191,-2168103.574742284,-2167304.295653496,5925723.41456694,-4854.157007018591,-4854.658663986941,-3551.622950436676,50.5,6671732.674418251,0,0.0008699998902495042,1.9017746045966823,0,0.00023887655001604872,0,0,0.7058461643056442,0.7768941111233754
7192,7192,-2172956.2756353123,-2172157.498739781,5922167.815625462,-4851.243693476206,-4851.7464229089355,-3559.574137132659,50.5,6671732.6662506005,0,0.0008699998902495042,1.902543801687989,0,0.00023898279474197597,0,0,0.7228706708130629,0.7924663488003436
