,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
13768,13768,-4578624.257621759,-4578859.947090467,-1606666.4893214,1316.739371451302,1315.722230720281,-7502.022844439349,50.5,6671669.204499274,0,0.0008699998902495042,2.327156943564366,0,0.0003362430868544967,0,0,0.7163589355282947,0.9875148347272121
13769,13769,-4577304.445707023,-4577541.152158057,-1614167.4322070577,1322.8841627734869,1321.8673390810754,-7499.861248845228,50.5,6671669.193006624,0,0.0008699998902495042,2.326884998242287,0,0.0003361585807399746,0,0,0.6880676423535954,0.9802225838738101
13770,13770,-4575978.48988808,-4576216.213003718,-1621666.2084635128,1329.0271784912434,1328.0106732022791,-7497.689586518966,50.5,6671669.181516861,0,0.0008699998902495042,2.3266118571757373,0,0.0003360737256286503,0,0,0.7479237768459,0.9929305436977893
13771,13771,-4574646.391944658,-4574885.131405815,-1629162.8080254896,1335.1684103590549,1334.152224837948,-7495.507860375347,50.5,6671669.170030009,0,0.0008699998902495042,2.326337521634208,0,0.00033598852224145186,0,0,0.6904087941717418,0.9804607307700931
13772,13772,-4573308.153664727,-4573547.9091509525,-1636657.2208306335,1341.3078501337989,1340.2919857445308,-7493.316073342664,50.5,6671669.158546075,0,0.0008699998902495042,2.326061992891066,0,0.0003359029713019238,0,0,0.7149138876319824,0.986469167906603
13773,13773,-4571963.7768445015,-4572204.5480339825,-1644149.4368195257,1347.4454895747585,1346.4299476808792,-7491.114228362714,50.5,6671669.1470650695,0,0.0008699998902495042,2.325785272223535,0,0.0003358170735361909,0,0,0.6800224720026479,0.9768413374644015
13774,13774,-4570613.263288435,-4570855.049857994,-1651639.445935695,1353.581320443633,1352.5661024082597,-7488.902328390795,50.5,6671669.135587007,0,0.0008699998902495042,2.325507360912662,0,0.0003357308296729085,0,0,0.6794322454418233,0.9745208065906997
13775,13775,-4569256.614809217,-4569499.416434314,-1659127.2381256327,1359.715334504549,1358.700441690364,-7486.680376395702,50.5,6671669.124111901,0,0.0008699998902495042,2.3252282602433,0,0.00033564424044327484,0,0,0.7215129250902723,0.9876147527649581
13776,13776,-4567893.833227773,-4568137.649582506,-1666612.803338806,1365.8475235240714,1364.8329572933208,-7484.4483753597215,50.5,6671669.112639757,0,0.0008699998902495042,2.3249479715040793,0,0.0003355573065810627,0,0,0.693470573231404,0.9806604723082863
13777,13777,-4566524.92037326,-4566769.751130365,-1674096.1315276704,1371.977879271215,1370.9636409857064,-7482.2063282786285,50.5,6671669.101170591,0,0.0008699998902495042,2.324666495987383,0,0.00033547002882254324,0,0,0.7164595587809189,0.9862830569457972
13778,13778,-4565149.878083064,-4565395.722913915,-1681577.2126476844,1378.1063935174545,1377.0924845385557,-7479.954238161683,50.5,6671669.089704415,0,0.0008699998902495042,2.324383834989322,0,0.00033538240790652454,0,0,0.658272596781096,0.9687981453921651
13779,13779,-4563768.708202801,-4564015.56677741,-1689056.0366573224,1384.2330580367368,1383.219479725373,-7477.692108031624,50.5,6671669.07824124,0,0.0008699998902495042,2.324099989809712,0,0.0003352944445742882,0,0,0.7287195654547964,0.9878320629244857
13780,13780,-4562381.412586308,-4562629.284573328,-1696532.5935180886,1390.357864605491,1389.3446183221442,-7475.419940924669,50.5,6671669.066781082,0,0.0008699998902495042,2.323814961752043,0,0.00033520613956962875,0,0,0.7109361277229788,0.9843126447455324
13781,13781,-4560987.993095648,-4561236.878162369,-1704006.8731945294,1396.48080500264,1395.4678921073462,-7473.137739890507,50.5,6671669.055323944,0,0.0008699998902495042,2.3235287521234627,0,0.00033511749363883116,0,0,0.7122176605014076,0.9848266078401494
13782,13782,-4559588.4516011,-4559838.349413456,-1711478.8656542483,1402.6018710096116,1401.5892928619594,-7470.845507992293,50.5,6671669.0438698465,0,0.0008699998902495042,2.3232413622347425,0,0.00033502850753066893,0,0,0.7240714942359032,0.9868687398674054
13783,13783,-4558182.789981164,-4558433.700203728,-1718948.5608679182,1408.721054410349,1407.7088123694775,-7468.54324830665,50.5,6671669.032418791,0,0.0008699998902495042,2.3229527934002596,0,0.00033493918199632656,0,0,0.6931927760416927,0.9787793658348445
13784,13784,-4556771.0101225525,-4557022.932418538,-1726415.9488092957,1414.8383469913224,1413.82644241592,-7466.230963923656,50.5,6671669.020970801,0,0.0008699998902495042,2.3226630469379663,0,0.0003348495177894668,0,0,0.7064957142341275,0.9823811412410832
13785,13785,-4555353.113920191,-4555606.047951454,-1733881.019455234,1420.9537405415394,1419.9421747898411,-7463.90865794685,50.5,6671669.009525879,0,0.0008699998902495042,2.3223721241693718,0,0.0003347595156662004,0,0,0.7067214408253656,0.9826950128242629
13786,13786,-4553929.103277216,-4554183.048704253,-1741343.762785697,1427.067226852557,1426.0560012823435,-7461.576333493219,50.5,6671668.998084036,0,0.0008699998902495042,2.322080026419508,0,0.0003346691763850505,0,0,0.7338737807507869,0.988929363829238
13787,13787,-4552498.980104968,-4552753.936586918,-1748804.1687837716,1433.1787977184915,1432.1679136870864,-7459.2339936931985,50.5,6671668.986645287,0,0.0008699998902495042,2.3217867550169133,0,0.00033457850070697814,0,0,0.7172190055804596,0.9848964638777195
13788,13788,-4551062.746322995,-4551318.713517642,-1756262.2274356824,1439.2884449360301,1438.277903800299,-7456.8816416906675,50.5,6671668.975209646,0,0.0008699998902495042,2.3214923112936026,0,0.0003344874893952973,0,0,0.6925544198321294,0.9779221254462853
13789,13789,-4549620.403859045,-4549877.381422815,-1763717.9287308045,1445.3961603044422,1444.3859634207904,-7454.519280642944,50.5,6671668.96377712,0,0.0008699998902495042,2.3211966965850426,0,0.0003343961432157833,0,0,0.7431238848359671,0.9907301607616885
13790,13790,-4548171.954649068,-4548429.942237031,-1771171.2626616766,1451.5019356255898,1450.4920843499601,-7452.1469137207805,50.5,6671668.952347726,0,0.0008699998902495042,2.320899912230129,0,0.00033430446293654056,0,0,0.6963007082103637,0.9792076148226617
13791,13791,-4546717.4006372085,-4546976.397903078,-1778622.2192240157,1457.6057627039386,1456.5962583918104,-7449.7645441083605,50.5,6671668.940921472,0,0.0008699998902495042,2.3206019595711593,0,0.00033421244932808886,0,0,0.6970449543404957,0.9792915212758027
13792,13792,-4545256.743775805,-4545516.750371941,-1786070.788416729,1463.7076333465693,1462.6984773529562,-7447.372175003293,50.5,6671668.929498364,0,0.0008699998902495042,2.320302839953808,0,0.00033412010316327933,0,0,0.7218096281259184,0.9855131985536814
13793,13793,-4543789.98602539,-4544051.001602797,-1793516.9602419282,1469.8075393631884,1468.7987330426365,-7444.9698096166085,50.5,6671668.9180784235,0,0.0008699998902495042,2.3200025547271035,0,0.00033402742521732086,0,0,0.698982517880702,0.9783786429544828
13794,13794,-4542317.129354684,-4542579.15356301,-1800960.724704943,1475.9054725661395,1474.8970172727256,-7442.557451172756,50.5,6671668.906661657,0,0.0008699998902495042,2.3197011052434013,0,0.0003339344162677493,0,0,0.6714551080173374,0.971011704048709
13795,13795,-4540838.175740591,-4541101.208228133,-1808402.0718143338,1482.0014247704137,1480.9933218577435,-7440.1351029095995,50.5,6671668.895248073,0,0.0008699998902495042,2.3193984928583564,0,0.00033384107709446664,0,0,0.6777087310177101,0.9728175239508426
13796,13796,-4539353.127168204,-4539617.167581903,-1815840.9915819059,1488.095387793661,1487.087638614867,-7437.702768078409,50.5,6671668.883837686,0,0.0008699998902495042,2.3190947189309066,0,0.0003337474084796165,0,0,0.6878537575853554,0.9755526470091374
13797,13797,-4537861.985630792,-4538127.033616238,-1823277.4740227226,1494.1873534562014,1493.1799593639414,-7435.2604499438585,50.5,6671668.872430502,0,0.0008699998902495042,2.318789784823238,0,0.00033365341120773155,0,0,0.6716788960519648,0.9704211067491497
13798,13798,-4536364.7531298045,-4536630.808331236,-1830711.5091551184,1500.2773135810355,1499.2702759274907,-7432.808151784026,50.5,6671668.861026541,0,0.0008699998902495042,2.3184836919007656,0,0.0003335590860655882,0,0,0.7261981414979164,0.9854326934722831
13799,13799,-4534861.431674867,-4535128.49373517,-1838143.0870007125,1506.3652599938557,1505.358580130729,-7430.345876890384,50.5,6671668.84962581,0,0.0008699998902495042,2.318176441532107,0,0.00033346443384221167,0,0,0.7214848123166614,0.9838501848308092
13800,13800,-4533352.023283778,-4533620.091844486,-1845572.1975844225,1512.451184523057,1511.4448638015713,-7427.873628567794,50.5,6671668.838228323,0,0.0008699998902495042,2.317868035089057,0,0.0003333694553289887,0,0,0.6994306298244882,0.9784721005067131
13801,13801,-4531836.529982505,-4532105.6046838015,-1852998.8309344777,1518.5350789997485,1517.5291187706441,-7425.391410134507,50.5,6671668.826834086,0,0.0008699998902495042,2.3175584739465624,0,0.0003332741513194755,0,0,0.7456484257584085,0.9899851786214618
13802,13802,-4530314.953805185,-4530585.034285901,-1860422.9770824318,1524.6169352577635,1523.6113368712972,-7422.8992249221565,50.5,6671668.81544311,0,0.0008699998902495042,2.317247759482699,0,0.0003331785226095044,0,0,0.6864254719942551,0.9737892025264941
