,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
9443,9443,-259465.46853678292,-260373.90506284827,-6661557.924985824,5457.296632410093,5457.258666824604,-425.84385157615725,58.61335133144992,6671700.163799641,0,0.7060352887322381,1.6096966429768416,0,0.0003699277456806789,0,0,0.6937906072650682,0.6948815208549068
9444,9444,-254007.9989951156,-254916.47287708853,-6661979.298040992,5457.6412300535385,5457.604483832236,-416.90216448365175,58.61335133144992,6671700.152904582,0,0.7060798695022501,1.6088780328761239,0,0.0003699157894063702,0,0,0.6882011387256475,0.6892516186257105
9445,9445,-248550.18851849445,-249458.69853698596,-6662391.729128242,5457.978502241495,5457.942975433711,-407.9599177413005,58.61335133144992,6671700.14200987,0,0.7061235025456698,1.6080593971645158,0,0.00036990408833008825,0,0,0.6964554383744691,0.6974532120190131
9446,9446,-243092.04443260218,-244000.58936817475,-6662795.217693925,5458.308448521142,5458.27414117457,-399.017123351767,58.61335133144992,6671700.131115499,0,0.7061661878039208,1.6072407363945513,0,0.00036989264254949416,0,0,0.6722997040304368,0.6732835140974918
9447,9447,-237633.5740635694,-238542.15269673866,-6663189.763196397,5458.631068449491,5458.59798061019,-390.07379331845,58.61335133144992,6671700.120221463,0,0.7062079252196993,1.606422051118645,0,0.00036988145216011384,0,0,0.7192198960523631,0.7201025106431402
9448,9448,-232174.7847379648,-233083.39584920116,-6663575.3651060155,5458.946361593388,5458.914493305778,-381.1299396454676,58.61335133144992,6671700.10932775,0,0.7062487147369735,1.6056033418890965,0,0.00036987051725536203,0,0,0.7215686059057934,0.722408811621682
9449,9449,-226715.68378278532,-227624.32615251554,-6663952.022905143,5459.254327529514,5459.223678836379,-372.1855743376411,58.61335133144992,6671700.098434357,0,0.7062885563009837,1.6047846092580937,0,0.00036985983792654293,0,0,0.7061392950804296,0.7069587836143266
9450,9450,-221256.2785254463,-222164.9509340552,-6664319.736088147,5459.554965844382,5459.52553678687,-363.2407094004791,58.61335133144992,6671700.087541276,0,0.7063274498582428,1.603965853777714,0,0.00036984941426283704,0,0,0.7173803425409695,0.7181463397610728
9451,9451,-215796.57629377165,-216705.2775216037,-6664678.504161403,5459.848276134346,5459.820066751966,-354.2953568401609,58.61335133144992,6671700.076648497,0,0.7063653953565361,1.6031470759999273,0,0.0003698392463512866,0,0,0.720374749058618,0.7211007040238788
9452,9452,-210336.58441598396,-211245.313243345,-6665028.326643289,5460.13425800559,5460.107268336215,-345.3495286635207,58.61335133144992,6671700.0657560155,0,0.7064023927449216,1.6023282764766003,0,0.00036982933427681165,0,0,0.6910399485485074,0.6917594534373317
9453,9453,-204876.3102206948,-205785.06542785355,-6665369.203064194,5460.412911074138,5460.387141154005,-336.4032368780316,58.61335133144992,6671700.054863821,0,0.7064384419737294,1.6015094557594949,0,0.00036981967812226414,0,0,0.6861518697566159,0.6868390776100036
9454,9454,-199415.76103689475,-200324.54140408454,-6665701.132966512,5460.684234965851,5460.659684829558,-327.45649349178916,58.61335133144992,6671700.043971908,0,0.7064735429945628,1.600690614400276,0,0.00036981027796830087,0,0,0.7015401824497748,0.7021790998122552
9455,9455,-193954.9441939436,-194863.74850136397,-6666024.115904647,5460.9482293164265,5460.924898996935,-318.50931051349556,58.61335133144992,6671700.033080265,0,0.7065076957602978,1.5998717529505102,0,0.0003698011338935345,0,0,0.6985207710507157,0.699127638308626
9456,9456,-188493.86702156055,-189402.6940493789,-6666338.151445012,5461.204893771402,5461.182783300034,-309.56169995244335,58.61335133144992,6671700.022188892,0,0.7065409002250829,1.5990528719616701,0,0.00036979224597439263,0,0,0.7171796306557322,0.7177373294336622
9457,9457,-183032.53684981432,-183941.38537816753,-6666643.239166028,5461.45422798615,5461.433337392595,-300.6136738184993,58.61335133144992,6671700.011297776,0,0.7065731563443393,1.5982339719851366,0,0.0003697836142852298,0,0,0.7172440287474307,0.7177703617646767
9458,9458,-177570.96100911335,-178479.82981810946,-6666939.378658128,5461.696231625886,5461.676560938192,-291.66524412208844,58.61335133144992,6671700.000406909,0,0.7066044640747616,1.5974150535722016,0,0.000369775238898263,0,0,0.7317683573927701,0.7322534096716455
9459,9459,-172109.14683019597,-173018.03469991576,-6667226.5695237545,5461.930904365662,5461.912453610241,-282.7164228741777,58.61335133144992,6671699.9895162815,0,0.7066348233743172,1.5965961172740695,0,0.0003697671198835926,0,0,0.7080292966528162,0.7085011007283453
9460,9460,-166647.1016441205,-167556.00735461919,-6667504.811377362,5462.158245890372,5462.141015091998,-273.7672220862599,58.61335133144992,6671699.978625892,0,0.7066642342022464,1.5957771636418623,0,0.00036975925730921267,0,0,0.718031007671806,0.7184676078330486
9461,9461,-161184.83278225546,-162093.7551135643,-6667774.1038454175,5462.37825589475,5462.36224507656,-264.8176537703378,58.61335133144992,6671699.967735732,0,0.7066926965190625,1.5949581932266192,0,0.00036975165124098885,0,0,0.7417879098901891,0.7421815921614987
9462,9462,-155722.3475762697,-156631.2853083976,-6668034.446566398,5462.590934083369,5462.576143266862,-255.86772993890773,58.61335133144992,6671699.956845791,0,0.7067202102865523,1.5941392065793016,0,0.00036974430174266555,0,0,0.6801215232437703,0.6805228668328713
9463,9463,-150259.65335812262,-151168.60527105784,-6668285.839190795,5462.796280170644,5462.782709375683,-246.91746260494352,58.61335133144992,6671699.9459560625,0,0.7067467754677755,1.593320204250794,0,0.00036973720887589057,0,0,0.6894915666543656,0.6898609388730925
9464,9464,-144796.75746005424,-145705.72233376597,-6668528.281381112,5462.9942938808335,5462.981943125642,-237.9668637818805,58.61335133144992,6671699.935066541,0,0.706772392027065,1.592501186791907,0,0.00036973037270020016,0,0,0.7491021300287586,0.7494163483047855
9465,9465,-139333.6672145754,-140242.64382901546,-6668761.772811866,5463.184974948035,5463.1738442492,-229.0159454835992,58.61335133144992,6671699.924177217,0,0.7067970599300271,1.5916821547533813,0,0.00036972379327296004,0,0,0.7445236465658769,0.7448168954788502
9466,9466,-133870.38995445796,-134779.3770895624,-6668986.313169591,5463.36832311619,5463.35841248866,-220.06471972440937,58.61335133144992,6671699.913288081,0,0.7068207791435415,1.590863108685888,0,0.0003697174706494855,0,0,0.7170138322476005,0.7172966780663073
9467,9467,-128406.93301272488,-129315.92944841558,-6669201.902152833,5463.544338139082,5463.53564759617,-211.11319851903377,58.61335133144992,6671699.902399128,0,0.706843549635761,1.5900440491400334,0,0.0003697114048829756,0,0,0.6912451306661915,0.6915151307551001
9468,9468,-122943.30372264044,-123852.30823882682,-6669408.5394721525,5463.713019780338,5463.705549333717,-202.16139388259208,58.61335133144992,6671699.891510348,0,0.7068653713761122,1.589224976666359,0,0.00036970559602444503,0,0,0.7025266486606504,0.7027708052864662
9469,9469,-117479.50941770036,-118388.52079428098,-6669606.224850127,5463.874367813427,5463.868117473133,-193.20931783058475,58.61335133144992,6671699.880621737,0,0.7068862443352947,1.588405891815348,0,0.00036970004412285363,0,0,0.69908767159802,0.69931157843579
9470,9470,-112015.55743162197,-112924.57444848616,-6669794.958021347,5464.028382021663,5464.023351796094,-184.2569823788769,58.61335133144992,6671699.869733287,0,0.706906168485282,1.5875867951374223,0,0.0003696947492250607,0,0,0.6983879189267508,0.6985921589329689
9471,9471,-106551.45509833438,-107460.47653536388,-6669974.738732424,5464.175062198202,5464.171252094121,-175.30439954368214,58.61335133144992,6671699.858844991,0,0.7069251437993209,1.5867676871829512,0,0.0003696897113757513,0,0,0.7243681152182712,0.7245463797621137
9472,9472,-101087.20975196858,-101996.23438903922,-6670145.56674198,5464.314408146047,5464.311818168576,-166.3515813415465,58.61335133144992,6671699.847956834,0,0.7069431702519319,1.5859485685022494,0,0.0003696849306175418,0,0,0.7102479436785867,0.7104120750197095
