,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_side,eff_back
5103,5103,4397164.023602133,4396850.832162882,-2417607.1625245176,1980.0314293607703,1981.0201001937066,7204.140175167633,53.099999999999994,6671749.4761697585,1,0.0008699998902495042,0.8512113263085589,0,0.0003237585117167845,0,0,0
5104,5104,4399141.103635393,4398828.901076937,-2410401.401499018,1974.1281948841336,1975.1172854205156,7207.380263893275,53.099999999999994,6671749.465642223,1,0.0008699998902495042,0.8508172354182091,0,0.00032387604218786004,0,0,0
5105,5105,4401112.279108672,4400801.065850051,-2403192.405221331,1968.2223107195264,1969.2118196317892,7210.610678819085,53.099999999999994,6671749.455110875,1,0.0008699998902495042,0.8504241858358363,0,0.00032399331531383495,0,0,0
5106,5106,4403077.547376245,4402767.323835171,-2395980.183367425,1962.3137847938879,1963.3037107539053,7213.831415609168,53.099999999999994,6671749.44457572,1,0.0008699998902495042,0.8500321791063655,0,0.00032411033016620775,0,0,0
5107,5107,4405036.9058003165,4404727.672393172,-2388764.7456175988,1956.4026250377028,1957.3929667167888,7217.042469940621,53.099999999999994,6671749.4340367615,1,0.0008699998902495042,0.8496412167733902,0,0.0003242270858177917,0,0,0
5108,5108,4406990.351751022,4406682.108892863,-2381546.1016564667,1950.4888393849913,1951.4795954539018,7220.243837503535,53.099999999999994,6671749.423494013,1,0.0008699998902495042,0.8492513003791493,0,0.00032434358134278424,0,0,0
5109,5109,4408937.882606434,4408630.630710984,-2374324.261172947,1944.572435773298,1945.5636049022326,7223.435514001004,53.099999999999994,6671749.412947483,1,0.0008699998902495042,0.8488624314645073,0,0.00032445981581664994,0,0,0
5110,5110,4410879.495752563,4410573.235232217,-2367099.2338602482,1938.653422143681,1939.6450030022852,7226.617495149128,53.099999999999994,6671749.402397174,1,0.0008699998902495042,0.8484746115689311,0,0.0003245757883162689,0,0,0
5111,5111,4412815.188583363,4412509.919849187,-2359871.0294158556,1932.731806440702,1933.7237976980687,7229.789776677023,53.099999999999994,6671749.391843105,1,0.0008699998902495042,0.8480878422304686,0,0.0003246914979198794,0,0,0
5112,5112,4414744.958500735,4414440.681962461,-2352639.65754152,1926.8075966124152,1927.799996937086,7232.952354326821,53.099999999999994,6671749.381285274,1,0.0008699998902495042,0.8477021249857262,0,0.00032480694370710125,0,0,0
5113,5113,4416668.80291453,4416365.518980559,-2345405.127943243,1920.8808006103561,1921.873608670324,7236.105223853679,53.099999999999994,6671749.370723697,1,0.0008699998902495042,0.8473174613698471,0,0.0003249221247589373,0,0,0
5114,5114,4418586.71924255,4418284.4283199515,-2338167.450331264,1914.9514263895321,1915.9446408522429,7239.248381025786,53.099999999999994,6671749.360158375,1,0.0008699998902495042,0.8469338529164896,0,0.00032503704015782295,0,0,0
5115,5115,4420498.704910556,4420197.407405065,-2330926.6344200494,1909.0194819084106,1910.013101440764,7242.381821624369,53.099999999999994,6671749.3495893255,1,0.0008699998902495042,0.8465513011578045,0,0.0003251516889876027,0,0,0
5116,5116,4422404.757352267,4422104.453668289,-2323682.6899282755,1903.084975128909,1904.0789983972618,7245.505541443692,53.099999999999994,6671749.339016552,1,0.0008699998902495042,0.8461698076244122,0,0.00032526607033355175,0,0,0
5117,5117,4424304.874009369,4424005.564549971,-2316435.6265788195,1897.1479140163838,1898.1423396865503,7248.619536291069,53.099999999999994,6671749.328440066,1,0.0008699998902495042,0.8457893738453813,0,0.0003253801832823859,0,0,0
5118,5118,4426199.052331512,4425900.73749843,-2309185.454098744,1891.2083065396198,1892.2031332768745,7251.723801986868,53.099999999999994,6671749.317859874,1,0.0008699998902495042,0.8454100013482063,0,0.00032549402692229703,0,0,0
5119,5119,4428087.289776318,4427789.96996995,-2301932.182219285,1885.2661606708198,1886.2613871398987,7254.818334364513,53.099999999999994,6671749.307275984,1,0.0008699998902495042,0.8450316916587849,0,0.00032560760034291595,0,0,0
5120,5120,4429969.583809381,4429673.259428792,-2294675.8206758387,1879.3214843855933,1880.3171092506961,7257.903129270495,53.099999999999994,6671749.296688407,1,0.0008699998902495042,0.8446544463013949,0,0.00032572090263538846,0,0,0
5121,5121,4431845.931904276,4431550.6033471925,-2287416.379207948,1873.3742856629465,1874.370307587738,7260.978182564372,53.099999999999994,6671749.286097147,1,0.0008699998902495042,0.844278266798673,0,0.0003258339328923372,0,0,0
