,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel
3554,3554,-3736678.2851375695,-960127.3621967298,-5443134.801321925,6403.420047105186,-752.0028882742583,-4263.239704464864,53.099999999999994,6671762.139701008,0,0.8284436846928269,2.165271687176934,0,0.00033585677118989937,0
3555,3555,-3730272.358840353,-960878.7205749031,-5447394.387182641,6408.431114327358,-750.7136999921049,-4255.93106409033,53.099999999999994,6671762.128783596,0,0.8290919910275913,2.164113152978994,0,0.00033576077706214537,0
3556,3556,-3723861.4257760355,-961628.7892608417,-5451646.661545984,6413.4335801876905,-749.4235040932186,-4248.6167113552065,53.099999999999994,6671762.117869301,0,0.8297391845580345,2.162954618776086,0,0.00033566483080531534,0
3557,3557,-3717445.494549337,-962377.5672477945,-5455891.618704503,6418.427437971733,-748.1323023092897,-4241.296656076757,53.099999999999994,6671762.1069581285,0,0.8303852644154817,2.1617960845682127,0,0.0003355689332660201,0
3558,3558,-3711024.5737716854,-963125.0535307428,-5460129.2529605655,6423.4126809765885,-746.8400963733587,-4233.970908079899,53.099999999999994,6671762.096050071,0,0.8310302297327528,2.1606375503553763,0,0.0003354730852891885,0
3559,3559,-3704598.6720612072,-963871.247106402,-5464359.558626368,6428.389302510922,-745.5468880198138,-4226.639477197194,53.099999999999994,6671762.085145127,0,0.831674079644164,2.1594790161375794,0,0.0003353772877180071,0
3560,3560,-3698167.7980427137,-964616.1469732218,-5468582.530023945,6433.357295894971,-744.2526789843888,-4219.302373268825,53.099999999999994,6671762.074243297,0,0.8323168132855282,2.1583204819148243,0,0.0003352815413939915,0
3561,3561,-3691731.96034769,-965359.7521313891,-5472798.161485173,6438.316654460554,-742.9574710041608,-4211.959606142598,53.099999999999994,6671762.063344584,0,0.8329584297941569,2.1571619476871136,0,0.00033518584715688603,0
3562,3562,-3685291.167614285,-966102.0615828279,-5477006.447351782,6443.2673715510755,-741.6612658175472,-4204.611185673915,53.099999999999994,6671762.052448977,0,0.8335989283088608,2.1560034134544495,0,0.0003350902058447748,0
3563,3563,-3678845.4284872953,-966843.074331202,-5481207.38197536,6448.209440521544,-740.3640651643049,-4197.257121725767,53.099999999999994,6671762.041556476,0,0.8342383079699511,2.1548448792168338,0,0.0003349946182939953,0
3564,3564,-3672394.75161816,-967582.7893819148,-5485400.959717363,6453.14285473857,-739.0658707855259,-4189.897424168722,53.099999999999994,6671762.030667087,0,0.8348765679192406,2.153686344974269,0,0.000334899085339176,0
3565,3565,-3665939.1456649434,-968321.205742112,-5489587.174949121,6458.067607580386,-737.7666844236367,-4182.532102880906,53.099999999999994,6671762.019780802,0,0.8355137073000456,2.1525278107267587,0,0.00033480360781320255,0
3566,3566,-3659478.619292327,-969058.3224206822,-5493766.022051844,6462.983692436845,-736.4665078223949,-4175.161167747996,53.099999999999994,6671762.008897616,0,0.8361497252571859,2.1513692764743046,0,0.0003347081865472292,0
3567,3567,-3653013.1811715974,-969794.1384282587,-5497937.495416633,6467.891102709434,-735.1653427268876,-4167.784628663205,53.099999999999994,6671761.998017534,0,0.8367846209369861,2.150210742216908,0,0.0003346128223707339,0
3568,3568,-3646542.839980632,-970528.65277722,-5502101.589444486,6472.7898318112875,-733.8631908835284,-4160.402495527267,53.099999999999994,6671761.987140551,0,0.8374183934872782,2.149052207954573,0,0.000334517516111399,0
