,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_r_back
2257,2257,4078765.6255860426,-4079222.2635414847,3352045.4427657546,2746.4474493934167,-2745.5370382694546,-6683.061324035527,53.099999999999994,6671773.74549972,1,0.0008699998902495042,0.913035573366717,0,0.0003044332847987154,0,0,0,0
2258,2258,4081509.3351845816,-4081965.0624226565,3345360.1334013366,2740.971133912589,-2740.0601105062847,-6687.555909316917,53.099999999999994,6671773.735600017,1,0.0008699998902495042,0.9125158044287324,0,0.0003045759581277494,0,0,0,0
2259,2259,4084247.5666275504,-4084702.3825365873,3338670.3339390936,2735.4911394789847,-2734.5795050130982,-6692.041518680848,53.099999999999994,6671773.725695677,1,0.0008699998902495042,0.9119968648771704,0,0.0003047185067258934,0,0,0,0
2260,2260,4086980.3162396736,-4087434.2202092246,3331976.0533579546,2730.0074734477103,-2729.095229145821,-6696.518146106614,53.099999999999994,6671773.71578671,1,0.0008699998902495042,0.9114787562688439,0,0.0003048609296000025,0,0,0,0
2261,2261,4089707.5803530333,-4090160.5717738746,3325277.300642863,2724.5201431788,-2723.607290265306,-6700.985785585566,53.099999999999994,6671773.70587311,1,0.0008699998902495042,0.9109614801614645,0,0.0003050032257566816,0,0,0,0
2262,2262,4092429.355307074,-4092881.433571206,3318574.084784765,2719.029156037206,-2718.115695737322,-6705.444431121116,53.099999999999994,6671773.695954887,1,0.0008699998902495042,0.9104450381136312,0,0.00030514539420231,0,0,0,0
2263,2263,4095145.637448607,-4095596.8019492566,3311866.4147805967,2713.5345193927897,-2712.620452932545,-6709.89407672875,53.099999999999994,6671773.686032045,1,0.0008699998902495042,0.9099294316848189,0,0.00030528743394310433,0,0,0,0
2264,2264,4097856.423131817,-4098306.673263437,3305154.2996332743,2708.03624062031,-2707.1215692265487,-6714.334716436031,53.099999999999994,6671773.676104587,1,0.0008699998902495042,0.9094146624353674,0,0.00030542934398501237,0,0,0,0
2265,2265,4100561.708718265,-4101011.043876536,3298437.7483516787,2702.534327099415,-2701.6190519997926,-6718.76634428261,53.099999999999994,6671773.666172513,1,0.0008699998902495042,0.9089007319264708,0,0.00030557112333387505,0,0,0,0
2266,2266,4103261.4905768945,-4103709.910158725,3291716.7699506455,2697.0287862146315,-2696.1129086376145,-6723.188954320233,53.099999999999994,6671773.656235837,1,0.0008699998902495042,0.9083876417201634,0,0.0003057127709953023,0,0,0,0
2267,2267,4105955.765084036,-4106403.268487563,3284991.373450953,2691.519625355356,-2690.6031465302185,-6727.602540612751,53.099999999999994,6671773.646294557,1,0.0008699998902495042,0.9078753933793103,0,0.0003058542859747603,0,0,0,0
2268,2268,4108644.528623412,-4109091.115248002,3278261.56787931,2686.006851915842,-2685.0897730726665,-6732.007097236125,53.099999999999994,6671773.636348678,1,0.0008699998902495042,0.9073639884675957,0,0.00030599566727757156,0,0,0,0
2269,2269,4111327.7775861407,-4111773.4468323914,3271527.3622683417,2680.4904732951945,-2679.5727956648675,-6736.402618278436,53.099999999999994,6671773.626398203,1,0.0008699998902495042,0.9068534285495093,0,0.0003061369139088656,0,0,0,0
2270,2270,4114005.508370743,-4114450.259640483,3264788.76565658,2674.9704968973556,-2674.052221711568,-6740.789097839892,53.099999999999994,6671773.61644314,1,0.0008699998902495042,0.9063437151903364,0,0.00030627802487369745,0,0,0,0
2271,2271,4116677.717383146,-4117121.550079436,3258045.7870884514,2669.4469301310974,-2668.528058622342,-6745.166530032835,53.099999999999994,6671773.606483491,1,0.0008699998902495042,0.9058348499561448,0,0.00030641899917694217,0,0,0,0
2272,2272,4119344.4010366867,-4119787.3145638206,3251298.4356142627,2663.9197804100113,-2663.0003138115812,-6749.534908981752,53.099999999999994,6671773.596519262,1,0.0008699998902495042,0.9053268344137735,0,0.0003065598358234073,0,0,0,0
2273,2273,4122005.55575212,-4122447.549515625,3244546.7202901905,2658.389055152498,-2657.468994698485,-6753.894228823279,53.099999999999994,6671773.586550458,1,0.0008699998902495042,0.9048196701308195,0,0.0003067005338177644,0,0,0,0
2274,2274,4124661.1779576205,-4125102.251364258,3237790.650178269,2652.854761781756,-2651.9341087070497,-6758.244483706212,53.099999999999994,6671773.576577078,1,0.0008699998902495042,0.9043133586756272,0,0.00030684109216461863,0,0,0,0
2275,2275,4127311.2640887885,-4127751.4165465557,3231030.234346377,2647.3169077257758,-2646.39566326606,-6762.585667791514,53.099999999999994,6671773.566599133,1,0.0008699998902495042,0.9038079016172748,0,0.0003069815098684714,0,0,0,0
2276,2276,4129955.8105886546,-4130395.041506785,3224265.4818682275,2641.775500417325,-2640.853665809079,-6766.917775252322,53.099999999999994,6671773.556616625,1,0.0008699998902495042,0.9033033005255626,0,0.0003071217859337583,0,0,0,0
2277,2277,4132594.8139076848,-4133033.1226966484,3217496.4018233526,2636.230547293942,-2635.3081237744354,-6771.240800273954,53.099999999999994,6671773.546629557,1,0.0008699998902495042,0.9027995569710001,0,0.0003072619193648434,0,0,0,0
2278,2278,4135228.270503785,-4135665.656575289,3210723.003297094,2630.6820557979236,-2629.7590446052172,-6775.554737053921,53.099999999999994,6671773.536637939,1,0.0008699998902495042,0.9022966725247945,0,0.000307401909166076,0,0,0,0
2279,2279,4137856.1768423053,-4138292.6396092963,3203945.295380589,2625.130033376317,-2624.2064357492604,-6779.859579801929,53.099999999999994,6671773.526641769,1,0.0008699998902495042,0.9017946487588367,0,0.00030754175434169744,0,0,0,0
2280,2280,4140478.529396046,-4140914.0682727094,3197163.2871707603,2619.574487480908,-2618.650304659138,-6784.155322739891,53.099999999999994,6671773.516641056,1,0.0008699998902495042,0.90129348724569,0,0.00030768145389599156,0,0,0,0
2281,2281,4143095.3246452613,-4143529.9390470223,3190376.9877703013,2614.015425568212,-2613.0906587921504,-6788.4419601019345,53.099999999999994,6671773.506635804,1,0.0008699998902495042,0.9007931895585762,0,0.00030782100683317314,0,0,0,0
2282,2282,4145706.559077664,-4146140.248421189,3183586.4062876664,2608.4528550994637,-2607.5275056103173,-6792.719486134406,53.099999999999994,6671773.496626018,1,0.0008699998902495042,0.9002937572713638,0,0.0003079604121574759,0,0,0,0
2283,2283,4148312.22918843,-4148744.992891627,3176791.5518370564,2602.886783540608,-2601.9608525803646,-6796.987895095883,53.099999999999994,6671773.4866117025,1,0.0008699998902495042,0.8997951919585542,0,0.0003080996688731154,0,0,0,0
2284,2284,4150912.331480205,-4151344.168962224,3169992.433538408,2597.3172183622887,-2596.3907071737167,-6801.2471812571775,53.099999999999994,6671773.476592856,1,0.0008699998902495042,0.8992974951952689,0,0.00030823877598434,0,0,0,0
2285,2285,4153506.8624631064,-4153937.7731443406,3163189.060517381,2591.7441670398384,-2590.8170768664854,-6805.497338901348,53.099999999999994,6671773.466569495,1,0.0008699998902495042,0.8988006685572376,0,0.00030837773249541304,0,0,0,0
2286,2286,4156095.81865473,-4156525.8019568166,3156381.441905346,2586.16763705327,-2585.2399691394603,-6809.738362323702,53.099999999999994,6671773.456541618,1,0.0008699998902495042,0.8983047136207828,0,0.00030851653741061953,0,0,0,0
2287,2287,4158679.1965801534,-4159108.2519259746,3149569.586839372,2580.5876358872647,-2579.6593914780983,-6813.970245831811,53.099999999999994,6671773.446509234,1,0.0008699998902495042,0.897809631962809,0,0.00030865518973428586,0,0,0,0
2288,2288,4161256.9927719412,-4161685.119585625,3142753.5044622137,2575.004171031164,-2574.0753513725144,-6818.192983745509,53.099999999999994,6671773.43647234,1,0.0008699998902495042,0.8973154251607882,0,0.0003087936884708116,0,0,0,0
2289,2289,4163829.2037701504,-4164256.40147707,3135933.2039223015,2569.4172499789574,-2568.487856317471,-6822.406570396909,53.099999999999994,6671773.426430948,1,0.0008699998902495042,0.8968220947927453,0,0.00030893203262469634,0,0,0,0
2290,2290,4166395.8261223333,-4166822.09414911,3129108.694373726,2563.8268802292746,-2562.896913812368,-6826.611000130403,53.099999999999994,6671773.41638506,1,0.0008699998902495042,0.8963296424372473,0,0.0003090702212004267,0,0,0,0
2291,2291,4168956.856383544,-4169382.194158046,3122279.984976228,2558.233069285374,-2557.302531361232,-6830.806267302676,53.099999999999994,6671773.406334682,1,0.0008699998902495042,0.8958380696733875,0,0.0003092082532026656,0,0,0,0
2292,2292,4171512.291116342,-4171936.6980676865,3115447.0848951847,2552.6358246551326,-2551.7047164727073,-6834.99236628271,53.099999999999994,6671773.396279821,1,0.0008699998902495042,0.895347378080773,0,0.00030934612763612216,0,0,0,0
2293,2293,4174062.1268907962,-4174485.60244935,3108610.0033015995,2547.0351538510367,-2546.103476660046,-6839.169291451789,53.099999999999994,6671773.386220478,1,0.0008699998902495042,0.8948575692395107,0,0.00030948384350562027,0,0,0,0
2294,2294,4176606.3602844914,-4177028.903881871,3101768.749372087,2541.4310643901717,-2540.4988194410967,-6843.337037203515,53.099999999999994,6671773.376156662,1,0.0008699998902495042,0.8943686447301933,0,0.0003096213998161454,0,0,0,0
2295,2295,4179144.9878825312,-4179566.598951604,3094923.332288863,2535.823563794211,-2534.890752338295,-6847.495597943807,53.099999999999994,6671773.366088376,1,0.0008699998902495042,0.8938806061338856,0,0.00030975879557276195,0,0,0,0
2296,2296,4181678.0062775435,-4182098.684252429,3088073.7612397308,2530.2126595894074,-2529.279282878654,-6851.644968090913,53.099999999999994,6671773.356015626,1,0.0008699998902495042,0.8933934550321108,0,0.0003098960297807167,0,0,0,0
2297,2297,4184205.412069684,-4184625.1563857533,3081220.0454180688,2524.5983593065816,-2523.664418593754,-6855.785142075414,53.099999999999994,6671773.345938414,1,0.0008699998902495042,0.8929071930068356,0,0.00031003310144538153,0,0,0,0
2298,2298,4186727.201866642,-4187146.01196052,3074362.19402282,2518.980670481113,-2518.0461670197305,-6859.916114340237,53.099999999999994,6671773.335856752,1,0.0008699998902495042,0.8924218216404571,0,0.00031017000957229323,0,0,0,0
2299,2299,4189243.372283645,-4189661.2475932096,3067500.2162584765,2513.3596006529297,-2512.424535697267,-6864.037879340658,53.099999999999994,6671773.32577064,1,0.0008699998902495042,0.8919373425157883,0,0.00031030675316720535,0,0,0,0
